skills,salary,english,experience,vacancy_url
"Node.js,Python,AI,LLM",-1,Виключно       від       Upper-Intermediate,Виключно                       від         5 років досвіду,https://djinni.co/jobs/663809-senior-software-engineer-node-js-python-llm-/
"Python,Django,Django REST Framework,MySQL,PostgreSQL",-1,Виключно       від       Intermediate,Без досвіду,https://djinni.co/jobs/663967-trainee-python-developer/
"Python / Django,Django/Flask/Aiohttp/FastApi",-1,від       Intermediate,від         4 років досвіду,https://djinni.co/jobs/663969-senior-python-django-engineer/
"Python,WebSockets,Multithreading,Highload,Asynchronous programming,microservices",-1,Виключно       від       Intermediate,Виключно                       від         5 років досвіду,https://djinni.co/jobs/663989-senior-backend-python-developer/
"FinTech,Backend development,Python,FastApi,AWS",-1,від       Intermediate,від         2 років досвіду,https://djinni.co/jobs/664076-backend-python-developer/
"Python,Machine Learning,SQL,OLAP storage,Apache Airflow,Snowflake and Snowpark,Scala",-1,Виключно       від       Upper-Intermediate,від         3.5 років досвіду,https://djinni.co/jobs/664083-python-ml-data-engineer/
-1,-1,від       Upper-Intermediate,Виключно                       від         5 років досвіду,https://djinni.co/jobs/562734-senior-python-engineer/
"Python/Django/Django-rest-framework,Python,Python / Django,Django,Django REST Framework,Unitest/ Pytest,Backend development",-1,від       Intermediate,від         3 років досвіду,https://djinni.co/jobs/664050-python-django-backend-developer/
"Python,FastAPI,PostgreSQL,AWS,Google Cloud Platform,Git",$2500-4000,-1,-1,https://djinni.co/jobs/655668-python-developer/
"Python,Django REST Framework,Vue,Celery,MySQL,PostgreSQL,HTML / CSS / JavaScript",$700-1000,від       Upper-Intermediate,Виключно                       від         1 року досвіду,https://djinni.co/jobs/385471-full-stack-developer-python-vue-/
-1,$300-500,від       Upper-Intermediate,Без досвіду,https://djinni.co/jobs/664328-trainee-junior-python-developer/
Python,-1,Виключно       від       Upper-Intermediate,Виключно                       від         3 років досвіду,https://djinni.co/jobs/664300-full-stack-engineer-python-with-knowledge-of-/
"Python,Kubernetes",-1,Виключно       від       Upper-Intermediate,Виключно                       від         5 років досвіду,https://djinni.co/jobs/664296-python-engineer/
